T;I1;I2;I3;V1;V2;V3;I_tot;V_zero;Phase
0.0168;-4.0293;-5.64103;9.67033;0.0150879;0;-0.0150879;9.84157;0.0301758;7.2;
0.0168667;-3.30403;-6.20513;9.50916;0.0150879;0;-0.0150879;9.78113;0.0301758;4.32;
0.0169333;-2.01465;-7.09157;9.10623;0.0150879;0.0150879;-0.0150879;9.69048;0.0754395;1.44;
0.017;0.161172;-8.46154;8.30037;0.0150879;0;0;9.74084;0;0;
0.0170667;2.73993;-9.8315;7.09157;0;0.0150879;0;10.2143;0.0754395;357.12;
0.0171333;5.31868;-10.5568;5.2381;0;0.0301758;-0.0150879;10.6172;0.0905273;354.24;
0.0172;5.64103;-10.3956;4.75458;0;0;0;10.4762;0.0150879;349.92;
0.0172667;5.15751;-8.78388;3.62637;0;0;0;8.89469;0.0754395;347.04;
0.0173333;4.43223;-7.09157;2.65934;0.0150879;0;0;7.22253;0.0150879;344.16;
0.0174;3.4652;-5.23809;1.77289;0.0150879;0;0.0150879;5.38919;0.0150879;339.84;
0.0174667;2.49817;-3.06227;0.564102;0;0;0;3.3141;0.0905273;336.96;
0.0175333;2.01465;-1.93407;-0.080586;0;0;0.0150879;2.32692;0.0603516;332.64;
0.0176;0.564103;-0.725275;0.161172;0;0;0;0.815934;0.0754395;329.76;
0.0176667;-1.36996;1.12821;0.241758;0.0150879;0;0.0150879;1.51099;0.0754395;326.88;
0.0177333;-3.14286;2.82051;0.322344;0.0150879;0;-0.0150879;3.50549;0.0301758;322.56;
0.0178;-4.10989;3.94872;0.161172;0.0150879;0;0;4.69414;0.0603516;319.68;
0.0178667;-5.23809;4.51282;0.725275;0.0301758;0;0;5.72161;0.0301758;316.8;
0.0179333;-6.3663;4.91575;1.45055;0.0150879;0;0;6.72894;0.0754395;313.92;
0.018;-7.65568;5.15751;2.49817;0.0301758;-0.0150879;0;7.86722;0.0301758;311.04;
0.0180667;-9.10623;4.83516;4.27106;0.0301758;0;0;9.17674;0.0150879;308.16;
0.0181333;-10.2344;3.86813;6.3663;0.0301758;0;0;10.4057;0.0754395;305.28;
0.0182;-10.2344;2.337;7.89744;0.0150879;0;0;10.7985;0.0754395;302.4;
0.0182667;-9.58974;0;9.58974;0.0301758;0;0;11.141;0.0603516;299.52;
